trainee,timestamp,eventType,event
1,14.5.2020 10:03:27,game,[INFO] Storyline
1,14.5.2020 10:04:51,game,[TASK] Reconnaissance
1,14.5.2020 10:15:20,game,[HINT] (40-1) What tool to use?
1,14.5.2020 10:22:11,game,[TASK] Exploiting vulnerability
1,14.5.2020 10:36:05,game,[HINT] (41-1) What tool to use?
1,14.5.2020 10:51:34,game,[HINT] (41-2) What exploit to use?
1,14.5.2020 11:02:37,game,[TASK] Looking for something useful
1,14.5.2020 11:03:20,game,[HINT] (42-1) Where to look for such file?
1,14.5.2020 11:09:44,game,[TASK] Cracking SSH key passphrase
1,14.5.2020 11:18:52,game,[HINT] (43-1) What's the name of the cracking tool?
1,14.5.2020 11:51:08,game,[TASK] Stealing the data
1,14.5.2020 11:59:01,game,[HINT] (44-1) How to use the key?
1,14.5.2020 12:06:19,game,[INFO] Ending
2,14.5.2020 10:02:12,game,[INFO] Storyline
2,14.5.2020 10:03:18,game,[TASK] Reconnaissance
2,14.5.2020 10:08:09,game,[HINT] (40-1) What tool to use?
2,14.5.2020 10:08:46,game,[HINT] (40-2) What port to look for?
2,14.5.2020 10:13:08,game,[TASK] Exploiting vulnerability
2,14.5.2020 10:14:14,game,[HINT] (41-1) What tool to use?
2,14.5.2020 10:14:52,game,[HINT] (41-2) What exploit to use?
2,14.5.2020 10:35:26,game,[TASK] Looking for something useful
2,14.5.2020 10:37:05,game,[HINT] (42-1) Where to look for such file?
2,14.5.2020 10:37:10,game,[HINT] (42-2) How to download the file?
2,14.5.2020 10:51:42,game,[TASK] Cracking SSH key passphrase
2,14.5.2020 10:52:59,game,[HINT] (43-1) What's the name of the cracking tool?
2,14.5.2020 10:53:03,game,[HINT] (43-2) What needs to be done before cracking?
2,14.5.2020 11:26:20,game,[TASK] Stealing the data
2,14.5.2020 11:29:09,game,[HINT] (44-1) How to use the key?
2,14.5.2020 11:29:13,game,[HINT] (44-2) In what format addresses are?
2,14.5.2020 11:29:19,game,[HINT] (44-3) Where to look for passwords?
2,14.5.2020 11:43:34,game,[INFO] Ending
3,14.5.2020 10:08:58,game,[INFO] Storyline
3,14.5.2020 10:10:04,game,[TASK] Reconnaissance
3,14.5.2020 10:12:45,game,[HINT] (40-1) What tool to use?
3,14.5.2020 10:32:16,game,[TASK] Exploiting vulnerability
3,14.5.2020 10:35:29,game,[HINT] (41-1) What tool to use?
3,14.5.2020 10:37:28,game,[HINT] (41-2) What exploit to use?
3,14.5.2020 11:05:01,game,[TASK] Looking for something useful
3,14.5.2020 11:07:40,game,[HINT] (42-1) Where to look for such file?
3,14.5.2020 11:07:48,game,[HINT] (42-2) How to download the file?
3,14.5.2020 11:26:00,game,[TASK] Cracking SSH key passphrase
3,14.5.2020 11:29:33,game,[HINT] (43-1) What's the name of the cracking tool?
3,14.5.2020 11:29:40,game,[HINT] (43-2) What needs to be done before cracking?
3,14.5.2020 12:09:12,game,[TASK] Stealing the data
3,14.5.2020 12:16:25,game,[HINT] (44-1) How to use the key?
3,14.5.2020 12:16:29,game,[HINT] (44-2) In what format addresses are?
3,14.5.2020 12:34:37,game,[HINT] (44-3) Where to look for passwords?
3,14.5.2020 12:36:29,game,[INFO] Ending
